title_count,dept_name,title
3795,Customer Service,Senior Staff
1164,Customer Service,Staff
545,Customer Service,Senior Engineer
188,Customer Service,Engineer
64,Customer Service,Technique Leader
22,Customer Service,Assistant Engineer
12980,Development,Senior Engineer
4679,Development,Engineer
1795,Development,Technique Leader
550,Development,Assistant Engineer
329,Development,Senior Staff
118,Development,Staff
3226,Finance,Senior Staff
973,Finance,Staff
3315,Human Resources,Senior Staff
1036,Human Resources,Staff
3701,Marketing,Senior Staff
1115,Marketing,Staff
11256,Production,Senior Engineer
3975,Production,Engineer
1597,Production,Technique Leader
467,Production,Assistant Engineer
390,Production,Senior Staff
99,Production,Staff
3142,Quality Management,Senior Engineer
1149,Quality Management,Engineer
437,Quality Management,Technique Leader
137,Quality Management,Assistant Engineer
3211,Research,Senior Staff
981,Research,Staff
664,Research,Senior Engineer
244,Research,Engineer
94,Research,Technique Leader
21,Research,Assistant Engineer
1,Research,Manager
9663,Sales,Senior Staff
2985,Sales,Staff
1,Sales,Manager
